index;original_date_corrected
NATP00307;16 March 1671
NATP00308;19 March 1671
NATP00309;1672
NATP00310;13 April 1672
NATP00311;11 June 1672
NATP00312;10 June 1672
NATP00313;30 July 1672
NATP00314;10 December 1672
NATP00315;10 December 1672
NATP00316;9 April 1672
NATP00317;10 June 1673
NATP00318;13 November 1675
NATP00319;30 November 1675
NATP00321;29 February 1676
NATP00322;11 May 1676
NATP00323;18 August 1676
NATP00324;22 August 1676
NATP00325;20 June 1686
NATP00326;14 July 1686
NATP00327;27 July 1686
NATP00328;18 October 1686
NATP00329;13 February 1686
NATP00330;1 March 1687
NATP00331;1696
NATP00332;30 January 1697
NATP00335;3 July 1712
NATP00336;3 June 1714
MINT01105;13 April 1696
MINT01106;3 Feb 1699
MINT01112;21 June 1699
MINT01111;14 June 1699
MINT01117;22 Jan 1700
MINT01119;30 Apr 1701
MINT01135;Dec 1712
MINT01137;5 Apr 1705
MINT01138;22 Jan 1713
MINT01139;25 Apr 1711
MINT01140;Apr 1714
MINT01142;8 May 1714
MINT01143;16 Apr 1714
MINT01146;28 Apr 1714
MINT01147;29 Apr 1714
MINT01148;May 1714
MINT01151;5 Aug 1714
MINT01150;27 Jul 1714
MINT01149;21 Jul 1714
MINT01152;9 Feb 1715
MINT01153;22 Feb 1715
NATP00016;21 July 1673
MINT01154;23 Jan 1700
MINT01155;17 Jul 1716
MINT01156;27 Aug 1716
MINT01157;26 Jul 1717
MINT01158;19 Feb 1717
MINT01159;11 Feb 1718
MINT01160;5 Jul 1720
MINT01161;8 Feb 1721
MINT01162;17 Apr 1702
MINT01163;22 Apr 1702
MINT01165;22 Mar 1702
MINT01167;15 Jan 1702
MINT01168;15 Jan 1702
MINT01169;5 March 1705
MINT01173;14 Apr 1708
MINT01174;6 Jul 1711
MINT01175;23 Feb 1711
MINT01176;21 March 1711
MINT01177;16 Jun 1712
MINT01178;10 Jul 1712
MINT01179;20 Nov 1712
MINT01181;9 Feb 1713
MINT01180;3 Feb 1713
MINT01182;5 Jan 1713
MINT01183;3 Aug 1714
MINT01184;1 Sep 1714
MINT01185;3 Sep 1714
MINT01186;6 Sep 1714
MINT01187;25 Sep 1714
MINT01188;10 Sep 1714
MINT01189;17 Sep 1714
MINT01190;31 Dec 1714
MINT01192;21 March 1714
MINT01191;10 Jan 1714
MINT01195;16 Jun 1715
MINT01193;28 Jul 1715
MINT01194;Jun 1715
MINT01196;5 Jul 1715
MINT01197;12 Sep 1715
MINT01199;Oct 1715
MINT01198;21 Sep 1715
MINT01200;26 Mar 1716
MINT01202;Nov 1716
MINT01201;24 Aug 1716
MINT01205;9 Aug 1717
MINT01204;31 Jul 1717
MINT01203;24 Nov 1716
MINT01207;31 Jul 1718
MINT01209;1 Nov 1721
MINT01213;21 Jan 1708
MINT01215;14 Mar 1708
MINT01217;28 Jan 1709
MINT01219;29 Jun 1710
MINT01218;28 Jun 1710
MINT01220;5 Sep 1710
MINT01221;18 Sep 1710
MINT01222;26 Jul 1712
MINT01223;29 Jan 1712
MINT01227;21 Jun 1697
MINT01230;31 Jul 1697
MINT01231;Aug 1697
MINT01236;Sep 1697
MINT01240;25 Dec 1697
MINT01243;10 Mar 1697
NATP00030;25 March 1672
NATP00023;10 Jan 1675
MINT00917;20 Jan 1698
MINT00920;21 Mar 1699
MINT00918;March 1698
MINT00919;15 Aug 1697
NATP00019;10 June 1673
NATP00002;1675
NATP00010;20 May 1672
NATP00021;25 Feb 1675
MINT00387;
MINT00163;July 1701
NATP00026;25 September 1676
NATP00025;25 September 1676
NATP00027;Oct 1742
MINT00196;
MINT00481;16 April 1698
MINT00636;20 July 1717
MINT00666;4 June 1719
MINT00659;July 1718
MINT00420;12 February 1709
MINT00428;9 August 1709
MINT00451;28 August 1712
