,title
NATP00226,"Letter from Newton to a friend, together with Collins's description of a telescope mentioned in the Newton letter"
NATP00227,"Letter from Newton to Francis Aston, dated 18 May 1669"
NATP00224,"Letter from Newton to John Collins, dated 19 January 1669/70"
NATP00225,"Letter from Newton to John Collins, dated 6 February 1669/70"
NATP00228,"Letter from Newton to John Collins, dated 18 February 1669/70"
NATP00229,"Letter from Newton to John Collins, dated 11 July 1670"
NATP00230,"Draft letter from John Collins to Newton, written c. 13-16 July 1670"
NATP00231,"Letter from Newton to John Collins, dated 16 July 1670"
NATP00232,"Draft letter from John Collins to Newton, dated 19 July 1670"
NATP00233,"Letter from Newton to John Collins, dated 27 September 1670"
NATP00307,"Letter to Henry Oldenburg, 16 March 1671"
NATP00308,"Letter to Henry Oldenburg, 19 March 1671"
NATP00200,"Letter from John Collins to Newton, dated 5 July 1671"
NATP00201,Draft response from Newton to John Collins's letter of 5 July 1671
NATP00234,"Letter from Newton to John Collins, dated 20 July 1671"
NATP00309,Newton's figure of his reflecting telescope with explanations
NATP00235,"Letter from Newton to Henry Oldenburg, dated 6 January 1671/2"
NATP00236,"Letter from Newton to Henry Oldenburg, dated 18 January 1671/2"
NATP00388,
NATP00237,"Letter from Newton to Henry Oldenburg, dated 29 January 1671/2"
NATP00003,Draft of 'A Theory Concerning Light and Colors'
NATP00238,"Letter from Newton to Henry Oldenburg, dated 10 February 1671/2"
NATP00006,A Letter of Mr. Isaac Newton … containing his New Theory about Light and Colors
NATP00239,"Letter from Newton to Henry Oldenburg, dated 20 February 1671/2"
NATP00007,An Accompt of a New Catadioptrical Telescope invented by Mr. Newton
NATP00052,Christiaan Huygens' comments on Newton's telescope
NATP00030,"An Extract of a Letter, received very lately, (March 19th) from the Inventor of this new Telescope, from Cambridge"
NATP00389,
NATP00316,"Copy of a letter to John Collins, dated 9 April 1672"
NATP00390,
NATP00310,"Letter to Henry Oldenburg, dated 13 April 1672"
NATP00009,"An Extract of another Letter … by way of an answer to some Objections, made by an Ingenious French Philosopher [Adrien Auzout] to the New Reflecting Telescope"
NATP00008,Mr. Newton's Letter … containing some more suggestions about his New Telescope
NATP00240,"Letter from John Collins to Newton, dated 30 April 1672"
NATP00391,
NATP00053,"The Observations, made upon these proposals [of Robert Moray] "
NATP00011,Some Experiments propos'd in relation to Mr. Newton's Theory of light … together with the Observations made thereupon by the Author of that Theory
NATP00010,Mr. Isaac Newton's Considerations upon part of a Letter of Monsieur De Bercé
NATP00392,
NATP00241,"Letter from Newton to John Collins, dated 25 May 1672"
NATP00397,
NATP00312,"Letter to to Henry Oldenburg for Ignatius-Gaston Pardies, dated 10 June 1672"
NATP00311,"Letter to Henry Oldenburg, dated 11 June 1672"
NATP00394,
NATP00012,A Latin Letter … by Ignatius Gaston Pardies … containing some Animadversions upon Mr. Isaac Newton … his Theory of Light
NATP00013,Mr Newtons Letter of April 13. 1672 … being an Answer to the fore-going Letter of P. Pardies
NATP00243,"Letter from Newton to Henry Oldenburg, dated 19 June 1672"
NATP00393,
NATP00242,"Letter from Newton to Henry Oldenburg, 6 July 1672"
NATP00244,"Letter from Newton to Henry Oldenburg, dated 8 July 1672"
NATP00245,"Letter from Newton to John Collins, dated 13 July 1672"
NATP00246,"Letter from Newton to Henry Oldenburg, dated 13 July 1672"
NATP00014,A Serie's of Quere's propounded by Mr. Isaac Newton … positively concluding his new Theory of Light and Colours
NATP00029,Mr. Newton's Answer to the foregoing Letter [of Ignace Pardies]
NATP00015,A second Letter of P. Pardies 
NATP00313,"Letter to to Henry Oldenburg, dated 30 July 1672"
NATP00247,"Letter from Newton to John Collins, dated 30 July 1672"
NATP00248,"Letter from John Collins to Newton, dated 1 August 1672"
NATP00186,"Letter from Newton to John Collins, dated 20 August 1672"
NATP00398,
NATP00249,"Letter from Newton to Henry Oldenburg, dated 21 September 1672"
NATP00395,
NATP00028,Mr Isaac Newtons Answer to some Considerations [of Robert Hooke] upon his doctrine of Light and Colors
NATP00250,"Letter from Newton to John Collins, dated 10 December 1672"
NATP00315,"Copy of an extract of a letter to John Collins, dated 10 December 1672"
NATP00314,"Copy of an extract from Newton to John Collins, dated 10 December 1672"
NATP00251,"Letter from Newton to Henry Oldenburg, dated 8 March 1672/3"
NATP00252,"Letter from Newton (probably to Henry Oldenburg), dated 3 April 1673"
NATP00253,"Letter from Newton to John Collins, dated 9 April 1673"
NATP00254,"Letter from Newton to John Collins, dated 20 May 1673"
NATP00396,
NATP00317,"Answer to Huygens' critique of Newton's new theory of light and colours, dated 10 June 1673"
NATP00016,An Extract of a Letter lately written by an ingenious person from Paris [Christiaan Huygens]
NATP00017,Mr. Newtons Answer to the foregoing Letter [of Christiaan Huygens]
NATP00255,"Letter from Newton to John Collins, dated 17 September 1673"
NATP00018,An Extract of Mr Isaac Newton's Letter … concerning the Number of Colors
NATP00019,An answer (to the former Letter) … by the same Parisian Philosopher
NATP00256,"Letter from Newton to John Collins, dated 20 June 1674"
NATP00020,"A Letter of the Learn'd Franc. Linus … animadverting upon … Mr. Isaac Newton's Theory of Light and Colors, date 6 October 1674"
NATP00259,"Letter from Michael Dary to Newton, dated 15 October 1674"
NATP00257,"Letter from Newton to John Collins, dated 17 November 1674"
NATP00054,"An Answer to this Letter [of Francis Linus], written 5 December 1674"
NATP00258,"Letter from Newton to Henry Oldenburg, dated 5 December 1674"
NATP00121,Draft of the 'Hypothesis Concerning Light and Colors'
NATP00126,Draft of the 'Discourse Concerning Light and Colors'
NATP00002,Hypothesis explaining the properties of light
NATP00122,Draft of the 'Discourse Concerning Light and Colors'
NATP00127,Draft of the 'Discourse concerning Light and Colors'
NATP00287,Optical diagrams
NATP00261,"Copy letter from Newton to John Smith, dated 24 July 1675"
